Date,value
1999-06-15,43.49612045288086
1999-06-16,45.73024368286133
1999-06-17,46.23770523071289
1999-06-18,46.44858551025391
1999-06-21,47.83914566040039
1999-06-22,46.3958625793457
1999-06-23,47.12737655639648
1999-06-24,46.19155502319336
1999-06-25,46.13225173950195
1999-06-28,47.22624206542969
1999-06-29,47.8720817565918
1999-06-30,48.61018753051758
1999-07-01,48.93973159790039
1999-07-02,49.55922317504883
1999-07-06,49.24287414550781
1999-07-07,49.32197952270508
1999-07-08,49.98097229003906
1999-07-09,50.48185348510742
1999-07-12,50.21825408935547
1999-07-13,49.98097229003906
1999-07-14,50.83114242553711
1999-07-15,51.29905700683594
1999-07-16,51.77356719970703
1999-07-19,51.24633026123047
1999-07-20,49.26924133300781
1999-07-21,49.50650024414063
1999-07-22,48.24773406982422
1999-07-23,48.32022476196289
1999-07-26,47.13399887084961
1999-07-27,48.082984924316406
1999-07-28,49.02540588378906
1999-07-29,47.97754669189453
1999-07-30,47.74029922485352
1999-08-02,47.60848236083984
1999-08-03,47.29873275756836
1999-08-04,46.441993713378906
1999-08-05,47.18012619018555
1999-08-06,46.67264938354492
1999-08-09,46.07293319702149
1999-08-10,45.657752990722656
1999-08-11,47.16033935546875
1999-08-12,46.60674285888672
1999-08-13,48.636566162109375
1999-08-16,49.02540588378906
1999-08-17,49.26924133300781
1999-08-18,48.71565628051758
1999-08-19,48.13570022583008
1999-08-20,48.90017318725586
1999-08-23,50.45549011230469
1999-08-24,50.79818344116211
1999-08-25,51.87900161743164
1999-08-26,51.01569747924805
1999-08-27,50.50822830200195
1999-08-30,49.79647064208984
1999-08-31,50.35004806518555
1999-09-01,50.712520599365234
1999-09-02,50.53460311889648
1999-09-03,52.85437774658203
1999-09-07,52.61712646484375
1999-09-08,51.90535354614258
1999-09-09,52.64349365234375
1999-09-10,53.249786376953125
1999-09-13,52.61055755615234
1999-09-14,52.9005012512207
1999-09-15,51.87900161743164
1999-09-16,51.8526496887207
1999-09-17,53.407958984375
1999-09-20,53.53317260742188
1999-09-21,52.24807357788086
1999-09-22,52.8016357421875
1999-09-23,50.61368560791016
1999-09-24,50.67955780029297
1999-09-27,51.03544235229492
1999-09-28,51.27268981933594
1999-09-29,50.24462127685547
1999-09-30,50.77182388305664
1999-10-01,50.791603088378906
1999-10-04,51.931732177734375
1999-10-05,52.30079650878906
1999-10-06,53.34863662719727
1999-10-07,53.223426818847656
1999-10-08,53.78361129760742
1999-10-11,54.5414924621582
1999-10-12,53.30250930786133
1999-10-13,51.72085571289063
1999-10-14,52.04376983642578
1999-10-15,50.50822830200195
1999-10-18,49.86897277832031
1999-10-19,50.13916397094727
1999-10-20,51.66813659667969
1999-10-21,52.51167678833008
1999-10-22,52.2744255065918
1999-10-25,52.30079650878906
1999-10-26,51.87900161743164
1999-10-27,51.7999382019043
1999-10-28,53.59249496459961
1999-10-29,55.464141845703125
1999-11-01,55.17417526245117
1999-11-02,55.20710372924805
1999-11-03,56.30772018432617
1999-11-04,56.94037628173828
1999-11-05,57.52031707763672
1999-11-08,58.68023300170898
1999-11-09,58.284812927246094
1999-11-10,59.04930114746094
1999-11-11,60.10374450683594
1999-11-12,60.894561767578125
1999-11-15,60.77593994140625
1999-11-16,62.31808471679688
1999-11-17,61.47452545166016
1999-11-18,63.359336853027344
1999-11-19,63.9261474609375
1999-11-22,62.95075225830078
1999-11-23,63.2407112121582
1999-11-24,65.3232421875
1999-11-26,65.5341567993164
1999-11-29,64.45333862304688
1999-11-30,62.001747131347656
1999-12-01,63.34619522094727
1999-12-02,65.35623168945312
1999-12-03,66.74673461914062
1999-12-06,67.35307312011719
1999-12-07,67.35307312011719
1999-12-08,66.53590393066406
1999-12-09,66.85218048095703
1999-12-10,67.40580749511719
1999-12-13,68.32184600830078
1999-12-14,67.08946228027344
1999-12-15,68.38116455078125
1999-12-16,70.06829071044922
1999-12-17,70.67462921142578
1999-12-20,71.59728240966797
1999-12-21,75.44598388671875
1999-12-22,75.208740234375
1999-12-23,76.10507202148438
1999-12-27,75.65692901611328
1999-12-28,75.18238830566406
1999-12-29,78.0293960571289
1999-12-30,77.18584442138672
1999-12-31,77.08041381835938
2000-01-03,79.92742156982422
2000-01-04,74.44425964355469
2000-01-05,72.54627227783203
2000-01-06,67.56396484375
2000-01-07,75.92052459716797
2000-01-10,78.0293960571289
2000-01-11,74.2333984375
2000-01-12,72.59895324707031
2000-01-13,76.97496795654297
2000-01-14,78.76753234863281
2000-01-18,79.18928527832031
2000-01-19,80.98188781738281
2000-01-20,80.19100952148438
2000-01-21,81.19274139404297
2000-01-24,77.29126739501953
2000-01-25,78.451171875
2000-01-26,75.28783416748047
2000-01-27,76.39500427246094
2000-01-28,72.54627227783203
2000-01-31,75.65692901611328
2000-02-01,77.68673706054688
2000-02-02,78.34575653076172
2000-02-03,81.40363311767578
2000-02-04,81.9572525024414
2000-02-07,83.09074401855469
2000-02-08,86.57049560546875
2000-02-09,83.51254272460938
2000-02-10,86.25411987304688
2000-02-11,84.25066375732422
2000-02-14,84.14524841308594
2000-02-15,84.7514877319336
2000-02-16,84.35610961914062
2000-02-17,86.14864349365234
2000-02-18,83.03807067871094
2000-02-22,83.30165100097656
2000-02-23,87.94124603271484
2000-02-24,89.83926391601562
2000-02-25,87.78307342529297
2000-02-28,87.73033905029297
2000-02-29,90.0501480102539
2000-03-01,90.78826141357422
2000-03-02,88.68595886230469
2000-03-03,93.6880340576172
2000-03-06,94.42615509033205
2000-03-07,93.00260162353516
2000-03-08,93.84617614746094
2000-03-09,97.00951385498048
2000-03-10,96.58777618408205
2000-03-13,94.05706787109376
2000-03-14,90.57740020751952
2000-03-15,86.78135681152344
2000-03-16,91.73726654052734
2000-03-17,93.47715759277344
2000-03-20,90.84100341796876
2000-03-21,94.26799774169922
