Date,value
1999-06-15,81.50222778320312
1999-06-16,83.05986022949219
1999-06-17,83.83867645263672
1999-06-18,83.93550109863281
1999-06-21,84.13081359863281
1999-06-22,83.54496002197266
1999-06-23,83.13484191894531
1999-06-24,82.50991821289062
1999-06-25,82.30482482910156
1999-06-28,83.31060028076172
1999-06-29,84.09178161621094
1999-06-30,85.61500549316406
1999-07-01,86.25942993164062
1999-07-02,87.11876678466797
1999-07-06,87.09925079345703
1999-07-07,87.21639251708984
1999-07-08,87.28472900390625
1999-07-09,87.80225372314453
1999-07-12,87.41167449951172
1999-07-13,87.09925079345703
1999-07-14,87.58740997314453
1999-07-15,88.14402770996094
1999-07-16,88.6224365234375
1999-07-19,88.03656768798828
1999-07-20,86.23015594482422
1999-07-21,86.13253021240234
1999-07-22,84.99984741210938
1999-07-23,84.83381652832031
1999-07-26,84.20892333984375
1999-07-27,84.91197204589844
1999-07-28,85.18536376953125
1999-07-29,83.99409484863281
1999-07-30,82.95905303955078
1999-08-02,83.15437316894531
1999-08-03,82.76376342773438
1999-08-04,81.63109588623047
1999-08-05,82.37322235107422
1999-08-06,81.47488403320312
1999-08-09,81.2990951538086
1999-08-10,80.40080261230469
1999-08-11,81.3772201538086
1999-08-12,81.32837677001953
1999-08-13,83.21296691894531
1999-08-16,83.58403015136719
1999-08-17,84.13081359863281
1999-08-18,83.52542877197266
1999-08-19,82.84187316894531
1999-08-20,83.68164825439453
1999-08-23,85.28305053710938
1999-08-24,85.595458984375
1999-08-25,86.47428131103516
1999-08-26,85.43927001953125
1999-08-27,84.40422058105469
1999-08-30,82.84187316894531
1999-08-31,82.52941131591797
1999-09-01,83.54496002197266
1999-09-02,82.55873107910156
1999-09-03,84.97055053710938
1999-09-07,84.65806579589844
1999-09-08,84.24798583984375
1999-09-09,84.20892333984375
1999-09-10,84.91197204589844
1999-09-13,84.33584594726562
1999-09-14,83.77931213378906
1999-09-15,82.45130920410156
1999-09-16,82.77354431152344
1999-09-17,83.81941223144531
1999-09-20,83.70191955566406
1999-09-21,81.93933868408203
1999-09-22,81.85122680664062
1999-09-23,80.13762664794922
1999-09-24,80.05928802490234
1999-09-27,80.58805847167969
1999-09-28,80.43135833740234
1999-09-29,79.47178649902344
1999-09-30,80.68598175048828
1999-10-01,80.50971221923828
1999-10-04,81.93933868408203
1999-10-05,81.86100769042969
1999-10-06,83.1143798828125
1999-10-07,82.64435577392578
1999-10-08,83.89775848388672
1999-10-11,83.7606430053711
1999-10-12,82.46810913085938
1999-10-13,80.33345031738281
1999-10-14,80.3138427734375
1999-10-15,78.257568359375
1999-10-18,78.82550811767578
1999-10-19,79.5892562866211
1999-10-20,80.37262725830078
1999-10-21,80.8426513671875
1999-10-22,81.528076171875
1999-10-25,81.11683654785156
1999-10-26,80.09845733642578
1999-10-27,81.54768371582031
1999-10-28,84.32862091064453
1999-10-29,85.85616302490234
1999-11-01,84.95527648925781
1999-11-02,84.34814453125
1999-11-03,84.91609954833984
1999-11-04,85.56239318847656
1999-11-05,86.40447998046875
1999-11-08,86.4828109741211
1999-11-09,85.67007446289062
1999-11-10,86.30659484863281
1999-11-11,86.7961654663086
1999-11-12,87.57952880859375
1999-11-15,87.78514862060547
1999-11-16,88.51953887939453
1999-11-17,88.75455474853516
1999-11-18,89.38125610351562
1999-11-19,89.30290222167969
1999-11-22,89.2833251953125
1999-11-23,88.49995422363281
1999-11-24,88.97000122070312
1999-11-26,88.63703155517578
1999-11-29,88.32369995117188
1999-11-30,87.28575134277344
1999-12-01,87.99079895019531
1999-12-02,88.51953887939453
1999-12-03,90.14502716064452
1999-12-06,89.47918701171875
1999-12-07,88.75455474853516
1999-12-08,88.18663787841797
1999-12-09,88.61746978759766
1999-12-10,88.91119384765625
1999-12-13,89.06792449951172
1999-12-14,88.2061996459961
1999-12-15,88.67625427246094
1999-12-16,89.06792449951172
1999-12-17,89.63987731933594
1999-12-20,88.99208068847656
1999-12-21,90.34667205810548
1999-12-22,90.5822525024414
1999-12-23,92.0251922607422
1999-12-27,91.89759063720705
1999-12-28,91.83871459960938
1999-12-29,92.23135375976562
1999-12-30,92.12332916259766
1999-12-31,92.27059173583984
2000-01-03,91.3675765991211
2000-01-04,87.79448699951172
2000-01-05,87.95154571533203
2000-01-06,86.5380630493164
2000-01-07,91.5638656616211
2000-01-10,91.87802124023438
2000-01-11,90.778564453125
2000-01-12,89.87550354003906
2000-01-13,91.09268188476562
2000-01-14,92.32951354980467
2000-01-18,91.60313415527344
2000-01-19,92.34915924072266
2000-01-20,90.93563842773438
2000-01-21,90.73929595947266
2000-01-24,88.16754150390625
2000-01-25,89.16875457763672
2000-01-26,88.46199035644531
2000-01-27,88.10861206054688
2000-01-28,85.36012268066406
2000-01-31,87.67669677734375
2000-02-01,88.54049682617188
2000-02-02,88.6190414428711
2000-02-03,89.95404052734375
2000-02-04,89.58103942871094
2000-02-07,89.44356536865234
2000-02-08,90.6607894897461
2000-02-09,88.75650787353516
2000-02-10,88.93318176269531
2000-02-11,87.12700653076172
2000-02-14,87.6374282836914
2000-02-15,88.62887573242188
2000-02-16,87.32333374023438
2000-02-17,86.87181854248047
2000-02-18,85.00675964355469
2000-02-22,84.79080963134766
2000-02-23,85.79206085205078
2000-02-24,84.06444549560547
2000-02-25,83.76011657714844
2000-02-28,85.51718139648438
2000-02-29,86.34174346923828
2000-03-01,86.9699478149414
2000-03-02,87.02884674072266
2000-03-03,88.65830993652344
2000-03-06,87.79448699951172
2000-03-07,86.09630584716797
2000-03-08,85.98832702636719
2000-03-09,88.50123596191406
2000-03-10,88.03005981445312
2000-03-13,87.06809997558594
2000-03-14,85.83131408691406
2000-03-15,87.83378601074219
2000-03-16,91.93689727783205
2000-03-17,92.54449462890624
2000-03-20,92.0721435546875
2000-03-21,93.96155548095705
2000-03-22,94.53236389160156
2000-03-23,96.14627075195312
2000-03-24,96.71705627441406
2000-03-27,95.693603515625
2000-03-28,95.14247131347656
2000-03-29,95.24090576171876
