Date,value
2000-05-26,32.66816711425781
2000-05-30,33.87394714355469
2000-05-31,33.99674606323242
2000-06-01,34.76711654663086
2000-06-02,36.57582092285156
2000-06-05,36.441837310791016
2000-06-06,36.799110412597656
2000-06-07,36.843780517578125
2000-06-08,36.75445938110352
2000-06-09,37.40200424194336
2000-06-12,36.29111862182617
2000-06-13,36.75445938110352
2000-06-14,36.57582092285156
2000-06-15,36.62045669555664
2000-06-16,36.41949844360352
2000-06-19,37.334999084472656
2000-06-20,37.58065032958984
2000-06-21,37.78083419799805
2000-06-22,36.64137649536133
2000-06-23,36.39561462402344
2000-06-26,36.84245681762695
2000-06-27,36.261566162109375
2000-06-28,37.177581787109375
2000-06-29,36.59669494628906
2000-06-30,36.94857406616211
2000-07-03,37.46804428100586
2000-07-05,37.04354476928711
2000-07-06,37.47922897338867
2000-07-07,37.71380233764648
2000-07-10,37.95957565307617
2000-07-11,37.91489410400391
2000-07-12,38.67450714111328
2000-07-13,38.79740524291992
2000-07-14,38.83091735839844
2000-07-17,38.96498107910156
2000-07-18,38.294708251953125
2000-07-19,37.62443542480469
2000-07-20,38.25001525878906
2000-07-21,37.19991683959961
2000-07-24,36.65813064575195
2000-07-25,36.73073196411133
2000-07-26,36.6637077331543
2000-07-27,35.6583137512207
2000-07-28,35.0327033996582
2000-07-31,35.92641067504883
2000-08-01,35.69184494018555
2000-08-02,35.7476806640625
2000-08-03,35.725318908691406
2000-08-04,35.904090881347656
2000-08-07,36.56875228881836
2000-08-08,36.39561462402344
2000-08-09,36.1330680847168
2000-08-10,35.92641067504883
2000-08-11,36.55201721191406
2000-08-14,36.93182373046875
2000-08-15,36.39561462402344
2000-08-16,36.5743522644043
2000-08-17,36.909481048583984
2000-08-18,36.853633880615234
2000-08-21,36.98768997192383
2000-08-22,36.93182373046875
2000-08-23,36.875972747802734
2000-08-24,37.4233627319336
2000-08-25,37.57973861694336
2000-08-28,37.64677810668945
2000-08-29,38.00426483154297
