序号,基金代码,基金名称,类型,近1年,近一年收益,交易状态,购买手续费,管理费率,托管费率,销售服务费,合计费率,链接
33,012870,"易方达纳斯达克100ETF联接(QDII-LOF)C(人民币)",C,33.74%,32.84%,"暂停申购  (单日累计购买上限10.00元)",0.00%,0.50%,0.10%,0.30%,0.90%,https://fund.eastmoney.com/012870.html
34,050025,"博时标普500ETF联接(QDII)A",A,24.26%,23.34%,"限大额  (单日累计购买上限100.00元)",1.20%,0.60%,0.20%,0%,0.92%,https://fund.eastmoney.com/050025.html
35,017641,"摩根标普500指数(QDII)A",A,23.85%,23.08%,"限大额  (单日累计购买上限100.00元)",1.20%,0.50%,0.15%,0%,0.77%,https://fund.eastmoney.com/017641.html
36,161125,"易方达标普500指数LOF",A,23.96%,22.84%,"暂停申购  (单日累计购买上限10.00元)",1.20%,0.80%,0.20%,0%,1.12%,https://fund.eastmoney.com/161125.html
37,017028,"国泰标普500ETF发起式联接(QDII)A",A,22.51%,21.66%,"暂停申购  (单日累计购买上限1.00万元)",1.00%,0.60%,0.15%,0%,0.85%,https://fund.eastmoney.com/017028.html
38,006075,"博时标普500ETF联接(QDII)C",C,23.83%,22.68%,"限大额  (单日累计购买上限100.00元)",0.00%,0.60%,0.20%,0.35%,1.15%,https://fund.eastmoney.com/006075.html
39,019305,"摩根标普500指数(QDII)C",C,23.49%,22.54%,"限大额  (单日累计购买上限100.00元)",0.00%,0.50%,0.15%,0.30%,0.95%,https://fund.eastmoney.com/019305.html
40,012860,"易方达标普500指数(QDII)C",C,23.52%,22.17%,"暂停申购  (单日累计购买上限10.00元)",0.00%,0.80%,0.20%,0.35%,1.35%,https://fund.eastmoney.com/012860.html
41,017030,"国泰标普500ETF发起式联接(QDII)C",C,22.15%,21.10%,"暂停申购  (单日累计购买上限1.00万元)",0.00%,0.60%,0.15%,0.30%,1.05%,https://fund.eastmoney.com/017030.html
42,018064,"华夏标普500ETF发起式联接(QDII)A(人民币)",A,23.19%,22.43%,"暂停申购  (单日累计购买上限100.00元)",1.20%,0.60%,0.15%,0%,0.76%,https://fund.eastmoney.com/018064.html
43,018065,"华夏标普500ETF发起式联接(QDII)C",C,22.82%,21.77%,"暂停申购  (单日累计购买上限100.00元)",0.00%,0.60%,0.15%,0.30%,1.05%,https://fund.eastmoney.com/018065.html
